// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
//============================
//----------CashShop----------
//============================

//============================
//----------New----------
//============================
//0,32404,10000 //rouge,hun
//0,32403,10000 //rounge
//0,32402,10000 //ass
//0,32401,10000 //blacksmith
//0,32400,10000 //knight
//0,32399,10000 //knight
//0,32394,10000 //dance
//0,32393,10000 //dance
//0,32391,10000 //knight
//0,32389,10000 //wizard
//0,32388,10000 //crusender
//0,32387,10000 //pirest
//0,32386,10000 //ass
//0,32385,10000 //ass
//0,32384,10000 //bard
//0,32383,10000 //ninja
//0,32382,10000 //gun
//0,32381,10000 //champ
//0,32379,10000 //rouge
//0,32378,10000 //hunter
//0,32376,10000 //sage
//0,32377,10000 //sage
//0,32372,10000 //alchemist
//0,32380,10000 //novice
//0,32392,10000 //novice
//2,32398,450 //ocpremix-ii
//2,32397,450 //ocpxvi
//2,32396,450 //ocp3
//2,32395,6000 //systemvip
//2,32371,450//OCP2
//2,32370,9999//4TH
//2,32369,990 //ocp1
//0,6635,10 //blacksmith blessing
//0,678,100//poision
//0,24339,5000//cos
//0,24340,5000//cos
//0,24341,5000//cos
//0,24342,5000//cos
//0,5286,3000//pecopeco
//0,2899,3000//soundamp
//0,5388,3000//snake
//0,5208,3000//ridewood
//0,22444,1500 //JRO
//0,20763,3900 // bag
//0,32695,450 //oldhat
//0,7539,10 // Coincash
0,2899,6000
0,40022,340
0,40054,2490
0,40055,2490
0,40056,3490
0,40045,4490
0,32395,4500
0,23207,1950
0,17920,990
0,17921,990
0,17184,990
0,16770,1000
0,12900,500
0,13990,500
0,12902,500
//============================
//----------HOT----------
//============================
//1,32404,10000 //rouge,hun
//1,32403,10000 //rounge
//1,32402,10000 //ass
//1,32401,10000 //blacksmith
//1,32400,10000 //knight
//1,32399,10000 //knight
//1,32394,10000 //dance
//1,32393,10000 //dance
//1,32391,10000 //knight
//1,32389,10000 //wizard
//1,32388,10000 //crusender
//1,32387,10000 //pirest
//1,32386,10000 //ass
//1,32385,10000 //ass
//1,32384,10000 //bard
//1,32383,10000 //ninja
//1,32382,10000 //gun
//1,32381,10000 //champ
//1,32379,10000 //rouge
//1,32378,10000 //hunter
//1,32376,10000 //sage
//1,32377,10000 //sage
//1,32372,10000 //alchemist
//1,32380,10000 //novice
//1,32392,10000 //novice
//1,5286,6000//pecopeco
//1,2899,30000//soundamp
//1,5388,6000//snake
//1,5208,15000//ridewood
//1,40010,2590
//1,40011,2590
1,23207,1950
1,17920,990
1,17921,990
1,17184,990
1,16770,1000
1,12900,500
1,13990,500
1,12902,500
1,16396,2300
1,16394,2300
1,16260,2300
1,16265,2300
1,16683,1900
//hat
1,23818,1000
1,23819,1000
1,23820,1000
1,23821,1000
1,23822,1000
1,23823,1000
1,23824,1000
1,23825,1000
1,23826,1000
1,23827,1000
1,23828,1000
1,23829,1000
1,23830,1000
1,23831,1000
1,23832,1000
1,23833,1000
1,23834,1000
1,23835,1000
1,23836,1000
1,23837,1000
1,23838,1000
1,23839,1000
1,23840,1000
1,23841,1000
1,23842,1000
1,23843,1000
1,23844,1000
1,23845,1000
